id,login,contributions
953992,jreback,4731
8078968,jbrockmendel,3789
329591,wesm,3127
1020496,jorisvandenbossche,1230
1312546,TomAugspurger,652
417981,cpcloud,607
13159005,simonjayhawkins,594
10647082,mroeschke,547
9273653,gfyoung,460
1696302,sinhrks,409
869232,adamklein,327
61934744,phofl,314
26364415,topper-123,298
1598379,jtratner,250
759245,changhiskhan,246
609873,WillAyd,245
50263213,ShaharNaveh,206
10058240,datapythonista,179
24256554,attack68,177
5332445,jschendel,163
45562402,rhshadrach,161
1931852,hayd,160
2658661,dsaxton,155
33491632,MarcoGorelli,139
7614606,fangchenli,129
37011898,mzeitlin11,118
1633974,orbitfold,111
16733618,alimcmaster1,104
1224492,toobaz,92
296164,jseabold,89
9269816,charlesdong1991,89
6618166,twoertwein,88
1924092,chris-b1,86
33685575,h-vetinari,85
1217238,shoyer,83
47963215,lithomas1,82
1094464,lodagro,77
48889395,arw2019,74
41443370,ivanovmg,67
5585221,bashtage,64
17853006,SaturnFromTitan,62
15113894,Dr-Irv,60
1642081,mortada,58
440095,qwhelan,56
327925,takluyver,54
1288998,behzadnouri,54
10709573,kawochen,49
107748,Komnomnomnom,43
21114125,reidy-p,40
5581066,bwignall,38
44933366,avinashpancham,32
980054,dsm054,32
890156,jankatins,31
14367887,makbigc,31
50109,gliptak,30
3195015,rockg,30
1621449,evanpw,29
39889,yarikoptic,29
579798,immerrr,29
5957850,davidastephens,27
29615021,JustinZhengBC,26
6472290,debnathshoham,26
17513912,realead,26
2342637,stephenwlin,26
6972290,thoo,25
34067903,erfannariman,24
41163037,FHaase,23
2279598,danielballan,23
1455030,Licht-T,22
17522184,ganevgv,22
14131823,minggli,21
1084147,moink,21
23830955,partev,21
16509490,ryankarlos,21
31669,Moisan,20
410907,lexual,20
51236,aflaxman,20
91798,danbirken,20
23253999,AlexKirko,18
8732795,farhanreynaldo,18
2666691,kshedden,18
41898282,github-actions[bot],18
443776,unutbu,18
86842,afeld,17
70274,xhochy,17
68049073,saurav-chakravorty,17
5236149,fujiaxiang,16
10944368,roberthdevries,16
1460294,onesandzeroes,16
5184014,parthea,15
652285,snth,15
1430066,gwrome,15
13166114,ihsansecer,15
1001948,sglyon,14
7441788,seth-p,14
4944021,discort,14
51059,cancan101,13
2272878,toddrjen,13
22582828,vaibhavhrt,13
26743548,willpeppo,13
13047435,peterpanmj,13
5635139,max-sixty,13
684364,kernc,13
13381361,Bharat123rox,12
25192,lbeltrame,12
1184478,guyrt,12
266668,invisibleroads,12
3813175,smithto1,12
247555,tswast,12
10076072,tommyod,12
41546976,GYHHAHA,12
1117703,dhimmel,11
125001,khughitt,11
9929982,nbonnotte,11
45976948,anmyachev,11
34047134,proost,11
4269898,terrytangyuan,11
10288252,GuessWhoSamFoo,11
6365769,funnycrab,11
5992653,AaronCritchley,10
33966871,alexander-ponomaroff,10
5356340,rosnfeld,10
4607683,Anjali2019,10
610115,dalejung,10
2754821,erictleung,10
17751774,felixDulys,10
746408,gdraps,10
94267,jmcnamara,10
1879063,neirbowj,10
25773476,ArtificialQualia,10
336019,blais,10
20772838,cbertinato,10
19281800,hongshaoyang,10
3064397,llllllllll,10
8515462,albertvillanova,10
2498638,charliec443,10
5356517,yui-knk,10
13339148,3vts,9
5946712,DriesSchaumont,9
8927258,johnzangwill,9
69774,michaelaye,9
731902,PKEuS,9
188258,alefnula,9
24496267,cleconte987,9
31857876,CloseChoice,9
1426279,glyg,9
12021217,adamjstewart,8
4369343,alysivji,8
50434302,ahawryluk,8
1435085,blbradley,8
38143549,HughKelley,8
78827,jnothman,8
4734245,KalyanGokhale,8
2701643,miketkelly,8
59281854,OlivierLuG,8
34237447,RaisaDZ,8
2503544,varunkumar-dev,8
45396231,vnlitvinov,8
46242526,01-vyom,8
22932421,IHackPy,8
6062071,jnmclarty,8
60985,nipunbatra,8
1630128,jsexauer,8
823911,mattip,8
30848,filmor,7
11509423,xcz011,7
15008772,Vlek,7
6729036,mdmueller,7
30631476,quangngd,7
35864265,r-toroxel,7
46084304,rushabh-v,7
43701530,sameshl,7
29282,tkf,7
4982858,Winterflower,7
44315225,Mikhaylov-yv,7
24451137,ftrihardjo,7
12384095,themien,7
138510,hexgnu,7
9507544,pijucha,7
4166648,clham,7
50891,westurner,7
832380,bjonen,7
453086,dieterv77,7
31629119,Giftlin,7
13501084,aa1371,6
1671906,benjaminr,6
3977643,bburan-galenea,6
6034908,dbew,6
14007150,deepyaman,6
6614695,Garrett-R,6
1970404,ginggs,6
50187675,HH-MWB,6
21543236,onshek,6
10188148,jeffcarey,6
361477,kashifkhan,6
23535916,mwoss,6
19514231,MicaelJarniac,6
124705,mgmarino,6
6215361,nparley,6
1455590,nehalecky,6
7305354,shawnheide,6
8355977,stephen-hoover,6
182689,lespaul,6
199813,tacaswell,6
33249563,tolaa001,6
21087061,uds5501,6
987057,vincentarelbundock,6
4179106,gepcel,6
35796307,ZhuBaohe,6
7795093,agraboso,6
6031088,ajcr,6
4306187,ischwabacher,6
53620269,krajatcl,6
38814059,mproszewska,6
7594913,rbenes,6
8066014,rebecca-palmer,6
57047354,saehuihwang,6
61093810,smartvinnetou,6
11860,timmie,6
15841903,tmnhat2001,6
1885174,almaleksia,6
7797029,oguzhanogreden,6
13602663,ParfaitG,6
754862,stijnvanhoey,6
1818628,metakermit,6
34522496,ma3da,6
776593,adamobeng,5
21162161,addisonlynch,5
11902612,alanbato,5
46272939,alexprincel,5
1978117,asishm,5
453745,chrisaycock,5
4377312,cbrnr,5
98194,garaud,5
7216757,DataOmbudsman,5
2073530,proinsias,5
10180442,galuhsahid,5
10563164,math-and-data,5
25271928,janelle,5
33122845,Joeperdefloep,5
15064365,jonmmease,5
743508,mangecoeur,5
24758845,yehoshuadimarsky,5
3450848,elmq0022,5
52484416,loicdiridollou,5
305268,msabramo,5
399551,mwiebe,5
26521816,immaxchen,5
52055110,mdhsieh,5
3150861,nmusolino,5
16047980,OlehKSS,5
35046,pv,5
4676330,nixphix,5
10072033,swyoon,5
5400810,sumanau7,5
7144772,sighingnow,5
6358669,dcreekp,5
7226751,tdpetrou,5
7584957,tomazberisa,5
3203,troels,5
22897252,AncientRickles,5
964251,scari,5
1579083,agijsberts,5
51149704,Donk23,5
42073497,fathomer,5
14239619,kylekeppler,5
40920480,pv8473h12,5
2401026,matthewgilbert,5
39779339,HubertKl,5
4158294,aileronajay,4
24970830,alexhlim,4
563314,wuan,4
40292327,AnnaDaglis,4
18662115,amilbourne,4
13618953,arminv,4
31483365,databasedav,4
590921,bthyreau,4
8531623,bobhaffner,4
247237,brendam,4
903655,bnaul,4
18680207,calvh,4
7291104,chalmerlowe,4
28761465,Cheukting,4
1044087,chrisjbillington,4
7414804,christopherzimmerman,4
632858,chrish42,4
5356122,clarkfitzg,4
10461030,DaanVanHauwermeiren,4
1864051,dnmiller,4
39164,wabu,4
6515763,dcanones,4
22162496,eoveson,4
12436991,frreiss,4
1676326,goyodiaz,4
163983,gregglind,4
9801748,gcbeltramini,4
1778723,hsperr,4
8238804,ivirshup,4
86304,jwkvam,4
1047337,jamesmyatt,4
18457551,JennaVergeynst,4
1168324,sjev,4
35633013,jiangyue12392,4
2783717,jcrist,4
1895498,karasinski,4
1216791,jzwinck,4
175722,jonashaag,4
38149479,JonathanShrek,4
1234915,kevinastone,4
13705459,vadakattu,4
335383,larsmans,4
35954013,LauraCollard,4
63981558,lorenzophys,4
1680079,lesteve,4
18101289,lucasrodes,4
15342068,mabelvj,4
3389134,MarianD,4
335567,Carreau,4
15815926,MaxVanDeursen,4
11009874,ChiefMilesEdgeworth,4
44080390,nickleus27,4
8815664,OXPHOS,4
89061,ogrisel,4
5285879,dayoreke,4
118211,ivanov,4
69753975,Qbiwan,4
56778,cool-RR,4
630936,rth,4
11428213,rouzazari,4
133543,smc77,4
6001653,sofiane87,4
198396,srinivasreddy,4
6089256,taljaards,4
413772,graingert,4
75975268,Varun270,4
12398535,VincentLa,4
1324881,vfilimonov,4
911431,tvyomkesh,4
4383303,wholmgren,4
5097634,akosel,4
3819470,cel4,4
23437545,hasan-yaman,4
26526439,junjunjunk,4
22385925,kotamatsuoka,4
4140247,luzpaz,4
49879400,nrebena,4
22431999,rosagold,4
109167,scls19fr,4
10372220,taytzehao,4
71941335,vangorade,4
1100923,waitingkuo,4
13247590,wcwagner,4
6260723,cmazzullo,4
44500643,horaceklai,4
5656196,watercrossing,4
265630,jgehrcke,4
9865734,AbhijeetKrishnan,3
704919,adamgreenhall,3
10812,adamhooper,3
8616972,evectant,3
4904947,ahcub,3
3679615,alfonsomhc,3
6286038,AlpAribal,3
5320313,winklerand,3
157797,Scorpil,3
1478530,aevri,3
25305301,anirudnits,3
2052424,anjsudh,3
68444,aisipos,3
833768,artemyk,3
33132,crayxt,3
9993,palewire,3
24482664,BenjaminLiuPenrose,3
10116000,bhavaniravi,3
6498024,another-green,3
34459766,HawkinsBA,3
4443076,BranYang,3
7232535,brandonmburroughs,3
675055,TheNeuralBit,3
52805678,bsun94,3
295428,cswarth,3
41120183,DanielFEvans,3
881019,dhirschfeld,3
2043653,dwhu,3
2343358,dwillmer,3
10732128,devin-petersohn,3
6868396,deniederhut,3
76797,douglatornell,3
42851573,ellequelle,3
29724281,el-iot,3
5069128,EricChea,3
3817978,fvia,3
26482095,gabriellm1,3
1748562,neinkeinkaffee,3
23508448,GGordonGordon,3
7454015,glemaitre,3
4609807,gpoulin,3
28043522,hammadmashkoor,3
659168,wuhaochen,3
6909215,hvardhan20,3
13176356,hwalinga,3
1696845,huguesv,3
7701219,ijmbarr,3
20255031,Iqrar99,3
41953,dukebody,3
2227377,ivannz,3
5811028,jackzyliu,3
781659,jakevdp,3
4970459,jamescobonkerr,3
2606663,jdrudolph,3
22668449,Seuss27,3
45035434,jjlkant,3
