number,user_id,created_at,updated_at,closed_at,milestone_number,state
45566,10647082,2022-01-23,2022-01-23,,,open
45562,8519523,2022-01-23,2022-01-23,,,open
45554,8281969,2022-01-22,2022-01-23,,93,open
45553,62328453,2022-01-22,2022-01-23,,,open
45551,13159005,2022-01-22,2022-01-22,,93,open
45549,19383859,2022-01-22,2022-01-23,,,open
45538,6548211,2022-01-21,2022-01-22,2022-01-22,,closed
45535,8406130,2022-01-21,2022-01-23,2022-01-21,33,closed
45520,13631749,2022-01-21,2022-01-21,,,open
45513,4510984,2022-01-20,2022-01-20,,,open
45506,12969559,2022-01-20,2022-01-21,,,open
45499,11861496,2022-01-20,2022-01-20,2022-01-20,33,closed
45497,25847554,2022-01-20,2022-01-21,2022-01-21,33,closed
45495,19615918,2022-01-20,2022-01-20,,,open
45494,33491632,2022-01-20,2022-01-22,2022-01-22,92,closed
45493,35445149,2022-01-20,2022-01-20,2022-01-20,,closed
45490,15343819,2022-01-20,2022-01-20,2022-01-20,,closed
45488,223833,2022-01-20,2022-01-20,,,open
45486,4571716,2022-01-20,2022-01-20,2022-01-20,33,closed
45481,4231387,2022-01-20,2022-01-21,,,open
45476,11488142,2022-01-19,2022-01-22,2022-01-22,,closed
45474,29948528,2022-01-19,2022-01-20,,,open
45472,15113894,2022-01-19,2022-01-19,,,open
45470,1020496,2022-01-19,2022-01-21,2022-01-21,86,closed
45469,10712109,2022-01-19,2022-01-21,,,open
45468,45534008,2022-01-19,2022-01-19,,,open
45467,98004396,2022-01-19,2022-01-23,,32,open
45463,24376333,2022-01-19,2022-01-19,,,open
45459,58755604,2022-01-18,2022-01-23,,,open
45452,4749283,2022-01-18,2022-01-18,2022-01-18,,closed
45448,1020496,2022-01-18,2022-01-21,2022-01-21,86,closed
45444,4324329,2022-01-18,2022-01-18,,,open
45443,1494624,2022-01-18,2022-01-22,,32,open
45442,38394940,2022-01-18,2022-01-18,,,open
45439,91461145,2022-01-18,2022-01-21,2022-01-20,33,closed
45433,8078968,2022-01-17,2022-01-18,,,open
45427,31315784,2022-01-17,2022-01-17,,,open
45423,8078968,2022-01-17,2022-01-18,,,open
45419,8078968,2022-01-17,2022-01-18,,,open
45418,315810,2022-01-17,2022-01-17,,,open
45417,4324329,2022-01-17,2022-01-17,,,open
45416,48577571,2022-01-17,2022-01-20,2022-01-20,86,closed
45414,8169725,2022-01-17,2022-01-22,2022-01-22,92,closed
45413,66293138,2022-01-17,2022-01-17,2022-01-17,,closed
45412,8078968,2022-01-17,2022-01-17,,,open
45409,10647082,2022-01-17,2022-01-17,,,open
45399,26318103,2022-01-16,2022-01-16,,,open
45392,13814358,2022-01-16,2022-01-16,,,open
45384,42875462,2022-01-15,2022-01-16,2022-01-16,86,closed
45379,92440039,2022-01-15,2022-01-15,2022-01-15,33,closed
45374,23437545,2022-01-14,2022-01-23,2022-01-23,93,closed
45372,8020367,2022-01-14,2022-01-16,,,open
45369,1020496,2022-01-14,2022-01-18,2022-01-18,86,closed
45367,6339274,2022-01-14,2022-01-14,2022-01-14,,closed
45366,76238346,2022-01-14,2022-01-14,2022-01-14,,closed
45361,8078968,2022-01-14,2022-01-22,,,open
45358,765202,2022-01-14,2022-01-21,2022-01-15,,closed
45351,35853209,2022-01-13,2022-01-14,2022-01-14,,closed
45350,37801658,2022-01-13,2022-01-16,2022-01-16,92,closed
45349,8078968,2022-01-13,2022-01-14,,,open
45345,26380359,2022-01-13,2022-01-22,2022-01-22,33,closed
45344,953992,2022-01-13,2022-01-18,2022-01-18,86,closed
45342,34867955,2022-01-13,2022-01-13,2022-01-13,,closed
45341,34867955,2022-01-13,2022-01-16,2022-01-16,,closed
45337,221526,2022-01-12,2022-01-21,2022-01-21,86,closed
45332,53116297,2022-01-12,2022-01-15,,,open
45329,79511706,2022-01-12,2022-01-12,2022-01-12,,closed
45328,25895405,2022-01-12,2022-01-14,,,open
45326,8078968,2022-01-12,2022-01-14,,,open
45322,31037879,2022-01-12,2022-01-13,2022-01-13,,closed
45320,57452607,2022-01-11,2022-01-14,,,open
45319,4954394,2022-01-11,2022-01-14,,,open
45317,22839369,2022-01-11,2022-01-12,,,open
45316,7932044,2022-01-11,2022-01-12,,,open
45315,20811121,2022-01-11,2022-01-16,2022-01-16,86,closed
45314,9297904,2022-01-11,2022-01-16,2022-01-16,86,closed
45313,20811121,2022-01-11,2022-01-17,2022-01-17,92,closed
45311,37367467,2022-01-11,2022-01-15,,,open
45310,58935223,2022-01-11,2022-01-12,2022-01-12,,closed
45307,8078968,2022-01-11,2022-01-11,,,open
45303,199813,2022-01-10,2022-01-14,,,open
